Node ID,Hub Score,Authority Score
3,4.021031639777648e-05,9.501171858460755e-05
4,7.319607685824196e-05,0.0
5,3.501788474433648e-05,0.0
6,0.0010539872861763642,6.398065594290167e-05
7,8.200618013274959e-05,0.0
8,0.00032001233330871553,0.0001877668019492143
9,0.00023181963355171505,0.0
10,0.00018207047608178497,6.848818550186217e-05
11,0.0049211820638081155,0.0
12,0.0002882286245176337,0.0
13,3.1200539556819396e-05,0.0
14,0.0004975871202612598,0.0
15,0.0004157326033809392,0.0022015434925655797
16,8.409812451935375e-05,0.0
17,0.00010084393686112623,0.0
18,3.6170086560198124e-05,0.0
19,7.217473720148221e-05,0.00012068234426719131
20,0.0008868292175658355,0.0
21,0.00029286346222089126,0.0
22,6.217339200066024e-06,0.0
23,0.00018134382079422983,9.608194643858471e-05
24,0.0026453591090556043,0.0
25,0.00021311562589770817,0.0
26,0.00014589156389685875,0.0
27,0.0005196190515395978,0.0
28,0.0003569336095194374,0.0002547506139075201
29,0.0006751699797052788,0.00020033705888880326
30,7.925509536668058e-05,9.50895483582225e-05
31,3.7014857557552186e-05,0.0
32,1.3200870183843321e-05,4.006198413324035e-05
33,6.99081608901083e-05,0.00013718996673519238
34,8.007226195926288e-06,9.147820801478825e-05
35,0.00021942583528112807,0.0006058524803373784
36,0.0019031263078179595,0.0002200135540995781
37,0.0001975968782896229,0.0
38,4.947377401933722e-05,7.24509027838514e-05
39,0.00010662223573949826,6.132950503607722e-05
40,3.3108710871978905e-05,0.0
41,8.648797386498156e-05,0.0
42,0.00048350497346107114,0.0
43,1.250095847604678e-05,0.0
44,0.00041146169058457597,0.0
45,2.546913474339244e-05,0.0
46,0.00018759984445221412,0.0
47,0.0009807402592461928,0.0
48,8.156902796762674e-05,0.0
49,8.974698034787031e-05,6.494368214024978e-05
50,3.3181940575165645e-05,0.00014146112469263911
51,8.886726976376196e-05,0.0
52,1.7574670325897096e-06,0.0
53,0.00047398806505468793,0.0
54,2.5269620598290884e-05,0.00014020713586436535
55,0.0001771956585369498,0.0001727304021162872
56,0.00015286209390211742,0.0009964078923843517
57,5.1990976514780505e-05,0.0
58,0.0002100901249605989,0.0
59,0.0006065805424187631,0.0
60,9.728239696760359e-05,0.0
61,0.0,8.598466643422308e-05
62,4.1805135177420205e-05,0.0
63,8.01984099096721e-07,0.0
64,8.01984099096721e-07,0.00013019347809736315
65,1.904854360546385e-06,0.0
66,0.0003144185462838787,0.0
67,6.45990613708868e-05,0.0
68,0.0029625234994643704,0.0
71,0.0008910795540263282,0.0
72,0.0013066507156964933,0.0014208234420192156
73,3.8070352877140614e-05,0.0
74,0.00035338807935893864,0.0
75,0.00011520437777606403,0.00016454096912668954
76,3.1128088270844268e-06,0.0
77,9.416197626388243e-05,0.0
78,0.0001061224993900234,0.0
79,0.0001469878132910911,0.0
80,0.00015814196462506436,9.785563942830018e-05
81,5.0355105358394184e-05,0.0
82,9.664059337393393e-07,0.0
83,4.089124679971841e-05,0.0
84,1.7196474505578896e-06,0.0
85,1.7196474505578896e-06,0.0
86,0.0008979253142073218,0.00043607784539747576
87,0.0018494354820361167,0.0
88,1.7196474505578896e-06,0.0
89,0.00020462235546232004,8.798474037944614e-05
90,0.0006159457764226664,0.0
91,3.884786802231163e-06,0.0
92,3.841204890823848e-06,0.0
93,8.740847445651763e-07,7.709789460588585e-05
94,0.0003021118128813061,5.6633151562024336e-05
95,9.191647321484082e-07,0.00019845160507360986
96,4.051730535066507e-06,0.0
98,3.64929177090586e-05,0.0
99,0.0002041951010048878,0.0
100,5.661043875823301e-06,0.0
101,4.587251692930062e-05,0.0
102,1.4035944434769595e-05,0.0
103,0.0005263200253706062,0.0
104,8.66977193208755e-05,0.0
105,5.117505885553727e-06,6.382886301766651e-05
106,5.721518125832729e-05,0.0
107,4.547308860697988e-06,0.0
108,2.5889831779753715e-06,4.840902379896722e-06
109,0.001732332452847799,0.0
110,0.0003113913430244786,0.0
111,7.148963825456473e-05,0.0
112,2.4875492344325475e-06,0.0
113,0.0007257546754395852,0.0
114,2.4875492344325475e-06,0.0
115,6.250373659793394e-06,0.0
116,5.390518711716819e-06,0.0
117,2.4875492344325475e-06,0.0
118,2.4875492344325475e-06,0.0
119,2.4875492344325475e-06,0.0
120,7.821731243336774e-05,0.0
121,2.1990259422690813e-05,0.0
122,0.0026611665319160615,0.0
123,2.4875492344325475e-06,0.0
124,2.649662873685609e-06,0.0
125,0.00012377906988949553,0.0
126,0.0001582452770913022,0.0
127,0.0013967344876209152,0.00010326606831069079
128,0.0005773018193366773,0.0
129,1.2297053055726712e-05,0.0
130,4.882517641345677e-05,0.00012522828749963262
132,0.00017758693626931403,0.00011925412381692958
133,2.3725693805208157e-05,0.0
134,1.2676843042652174e-06,0.0
135,1.00337098950242e-05,6.094888825535337e-05
